gene_symbol,Hox_3,Hox_5,Hox_2,Hox_1,Hox_4,No_hox_3,No_hox_2,No_hox_5,No_hox_1,No_hox_4
sna,7.866497279578729,7.809942283737654,7.851996201960473,7.875746532702544,7.845052494111605,7.942508884581328,7.872396733507074,7.898147934562855,7.887370523795388,7.928525517473477
CG10492,5.490523010151021,5.523704245222738,5.498162075755492,5.473089008311729,5.436688159884951,5.705145070610223,5.577834257953581,5.462929453406532,5.550512561214337,5.699774246422746
Xrp1,6.590393205953362,6.5281499657514095,6.586140542123453,6.557495287127741,6.5240376235305355,6.750502327847466,6.5822367955904015,6.541169128473208,6.6465311790949855,6.667688965849068
CG11696,5.836765139951556,5.869483943499466,5.8498291953547294,5.835032340144536,5.847326213096756,6.0784392936136395,6.101483965519085,5.896311668764034,5.8202367259888685,5.9060692111791
insv,8.56447048571429,8.559579950219353,8.55773074917601,8.562435354276987,8.571372362687766,8.62348223913171,8.64746334523171,8.619347421984392,8.566245575667716,8.57024117436308
CG15435,5.433607254269267,5.2952331703069335,5.303874377389589,5.330074919479858,5.364445124669774,5.429950295333113,5.577834257953581,5.432754591193829,5.429001704248905,5.57161611697987
CG6340,7.113408009801943,7.098132229701402,7.091960075744981,7.096992470762001,7.107901100556568,7.129728336912509,7.189488376205253,7.1803402033401005,7.101311952098195,7.242496747625402
CG9215,5.237292737820395,5.244962274712831,5.188853516182273,5.087691871454671,5.147136813948864,5.335078350856498,5.291411640314334,5.361335752082281,5.189725369835905,5.5385189856613515
sage,4.47591418200614,4.811416570003493,4.393594345505235,4.727038934813245,4.533070392115155,4.881106318471616,5.6834720680888475,4.596331229782302,5.382328694910697,4.49978392199537
otp,2.885277530343103,2.066902873148346,2.2028291942800053,3.250994668158925,2.929737760105601,3.859887802003636,3.751970938832418,3.4824261914350854,4.063257256295838,2.8967369556890925
CG12253,6.40433526162797,6.3769003398075155,6.336012696087829,6.378564746091179,6.43364499150026,6.449699520497534,6.5330356809274965,6.4289230704444025,6.52214069409089,6.452447521913435
CG12075,2.583553155550435,2.322429144842868,2.2028291942800053,1.8235887768318206,1.9863261777359749,2.0647043351779235,2.69923302367039,3.009318130529421,3.0813002117614365,2.7974913785729365
