gene_names,Hox_2,Hox_10,Hox_1,Hox_13,Hox_14,Hox_7,Hox_11,Hox_15,Hox_3,Hox_9,Hox_4,Hox_12,Hox_8,Hox_5,Hox_6,No_hox_3,No_hox_5,No_hox_14,No_hox_15,No_hox_10,No_hox_7,No_hox_12,No_hox_2,No_hox_4,No_hox_11,No_hox_1,No_hox_13,No_hox_6,No_hox_8,No_hox_9
sug,4.332524828561201,4.177144951215719,4.492206301966496,4.366008385814364,4.172311607700696,4.2768339582842305,4.1360878721769385,4.373723784796682,4.356623402712086,4.475233093297352,4.208808163851421,4.390959406621027,4.0274000200497255,4.296688514620607,4.483057845453026,3.9914525883718506,4.419957893783321,3.713129224577063,3.966255951848145,4.327914356236879,3.790695318471648,3.960213498353197,4.174166687326098,3.867689027969287,4.159874495756717,4.120913543493644,3.815638824812995,4.003933965220297,4.063018580212327,3.884620856146994
pho,6.159981528403823,6.121875429299944,6.132998545132661,6.124951513329475,6.151648642398811,6.132569281063374,6.134497876326991,6.12513555622489,6.177917375866875,6.169132103934662,6.133069663185391,6.182077101012209,6.157568753755207,6.142763666549111,6.198048372493727,6.095326426426239,6.1479470688814235,6.04217999641762,6.059681058962487,6.181485587802442,6.035299413730225,6.112242224573113,6.10203673708773,6.106923968125854,6.111783884267357,6.062595931290179,6.117030049920046,6.026558021879808,6.004579002845135,6.117349550244904
Kah,4.02434048671563,3.8782194172023496,4.655922599292715,3.9143067825859257,3.9630411075762404,4.214428885402446,4.180171144999215,4.338252799197892,4.367906387828982,4.348706161142847,4.280405372935378,4.156323587268678,3.7176717260189296,4.371971452772206,4.450286424400673,2.9291198865168306,3.7662836233192323,3.1446753097897453,2.7790927225754802,3.785521473307856,3.4933455752617144,4.0002728403366214,2.7682033831797663,3.451333509649486,2.9121779638943477,3.539306865105813,3.717870961165101,3.205907236236042,2.247770214522375,3.511175509864345
TC000916,4.882944940961413,5.000425283670202,5.144943437328669,4.857462593820511,5.026192498804657,4.903396634577284,5.08579007727907,4.905993904075771,4.9905811909814055,4.968382981678248,5.009933201666872,5.04521341396032,4.88467904669442,4.920536744268459,4.974124564435467,4.792067079336798,4.551983811372348,4.2141464842940906,4.30897523361019,4.589533578902806,4.571483691392202,4.53490268464371,4.552250729211401,4.592447236421516,4.698024089177053,4.277588667556447,4.2292528607407505,4.277133170871446,4.4254379174631815,4.544688998463101
hth,7.60540080336529,7.532932904844005,7.5606558640600685,7.650148454524948,7.564182707092674,7.536933153026033,7.661292959421474,7.623238446937499,7.608042667036383,7.632939373599659,7.613175428410091,7.589605429440266,7.5854096237018735,7.643793599453235,7.6203586233461955,7.406056933741375,7.492935084210892,7.377930080887676,7.372292667507683,7.632053309498537,7.522226740816352,7.471569938476684,7.498535080390095,7.382455131786878,7.444387715028439,7.491250907424357,7.411305909513578,7.387338383696874,7.387712130689741,7.3974867812047265
chn,5.434710317360809,5.393348264866954,5.481695802626091,5.426503655948191,5.4890434959883825,5.457507329497379,5.49499862633117,5.4984388631134316,5.48225149775499,5.569847190693836,5.538524928747731,5.536358956633251,5.552537514522394,5.518636238445794,5.44523402608813,5.35337342691612,5.201829210600048,5.245987581053535,5.338240239047205,5.3554569176205336,5.5003401974239585,5.449356224555072,5.406350661089584,5.135806825918286,5.335551820657692,4.992561529468332,5.368638488326791,5.260488609931622,5.232526239194322,5.3210031893613285
TC032035,7.087244476904386,6.9554114085019805,7.004404519133664,7.089211720886499,7.076500850965597,7.025533845311745,7.090242327973199,7.052948350741697,7.092778629057921,7.09346821078113,7.063521102730802,7.080301407573678,7.077133001008342,7.010859545111083,7.063497147783899,6.926961091150643,6.89377139741873,6.848848475056803,6.968496378445866,6.8875704269704485,6.876539023721358,7.057197496495934,6.950782505988774,6.78524205311195,6.909071710520203,6.86298461463878,7.028254900086877,6.94139943125222,6.903572488564199,6.830673302275065
TC003191,5.208041752246771,5.1795755485760715,5.296312023927614,5.279012390227029,5.400270186915783,5.320332265919168,5.571154725180163,5.650385647624662,5.227913657095357,5.374828635658691,5.527756754371586,5.457567857580273,5.314404175173083,5.235823838485876,5.377282155756467,5.020881423539907,5.162312092821711,4.8831928402982205,5.0382621565448655,4.903112504187314,4.94146127064945,5.059743515857898,4.825955891881258,4.460361661285607,5.1136118575205565,4.697657029776921,4.88357965521005,5.1419571889923406,5.137749918670332,4.938880048372798
Mef2,5.16337146690275,5.003486226663434,5.270221936888338,4.964367844340638,4.897687848738259,5.138562611635999,4.965507789426238,5.066376944994606,5.21115723029078,5.148994153399912,5.051457196892907,5.180580556418235,4.942986407195618,5.242853523049826,5.207669028797015,4.754645750184552,4.600271646451668,4.738668213805772,4.837477771067655,4.656312188333298,4.547638366613409,4.579888147186456,4.297517835569162,4.612859807519004,4.6780073495935,4.716533198403839,4.945641127043788,4.583579255624096,4.916073012513884,4.653582668834346
inv,5.99304096241572,5.98049365751393,5.940103506429004,5.871055533387474,5.960208103122386,5.7625489670596926,5.915704790474123,5.945666306788306,5.863332613709447,6.072242686941155,6.0456286244914175,5.938657463670516,5.83470719121503,6.000139387247304,6.085582216543354,5.374109938740201,5.635201926402871,5.502618560170778,5.662903742317649,5.531621552209808,5.622829108053178,5.430745202808722,5.673558092419414,5.205205949410272,5.534392651108223,5.600769156916598,5.76925341359491,5.660481983291618,5.4988670231089865,5.6206246156311215
