gene_names,Hox_5,Hox_3,Hox_1,Hox_2,Hox_4,No_hox_2,No_hox_3,No_hox_1,No_hox_4,No_hox_5
Hexim,6.64574104677906,6.708611468903896,6.648476766215743,6.653504306997057,6.650010130389547,6.582265542541751,6.5455293718508045,6.6142600401505405,6.551976486755743,6.5811309247577485
Mef2,6.125332890469269,6.272048362525032,6.1721098619930235,6.23555701395279,6.191281215416854,5.814438007419716,5.758142610435298,5.830338935594509,5.636304286735039,5.860647974894952
TC034116,4.620982110204439,4.848562220437459,4.62992212161135,4.682541527052827,4.778283594766321,4.412659392819279,4.41617950884384,4.484201929560495,4.3539922392717925,4.469942079657887
TC000916,6.029745910115012,6.120551868403631,6.024761650028924,6.083638845003505,6.100990444052131,5.620487193773229,5.44978601072407,5.5153927005091745,5.797526836209314,5.478984557828
TC032451,7.20412615111746,7.313314011740307,7.205378281366347,7.171444385343726,7.2169243127311615,6.9928976036884585,6.941771156209103,6.956625771251008,7.006483840793831,6.915404551164755
Cph,7.902614649149431,8.034272212932958,7.9511999863663405,7.985015578323063,7.953517448040507,7.754298120262767,7.862303437662087,7.7865437420572805,7.838796684454549,7.827935661875369
TC033811,2.974412960376229,3.149892813539753,3.0674697813079197,3.3317030773138594,3.201933869460711,2.2136286419679916,2.6830676349977387,2.4807962197022975,2.6245284100555617,2.683379921747396
CG11617,3.732447765683247,3.84155101096795,3.7370725756971046,3.9564863071447545,3.9983567303478114,2.961912882544261,2.827405591475882,3.455122687829863,3.280765763292725,3.1664923345347304
E5,6.656867192631647,6.613990898063122,6.583018477654012,6.763250019873377,6.7514782634633645,6.330137436999855,6.401896325757584,6.499210980157712,6.3904253000972915,6.402230964752754
nau,4.634273880266576,4.720305581543184,4.4567772828128,4.553888531966304,4.5572404416403085,3.514389646983448,3.6792850895635185,3.752158176131065,3.8696631752077475,4.017065538987454
zfh1,8.071774945521373,8.08370749501982,8.05368375188899,8.074471634796181,8.10014543564798,7.8658004784763484,7.9109503226384135,7.9104266542888775,7.924934123016404,7.992836662623844
vnd,6.716216466146978,6.716529393981855,6.701935666406971,6.635952025307642,6.691390463779417,6.089131320950987,6.202430623146942,6.384084015461075,6.3904253000972915,6.446446821961838
hth,8.674263805106714,8.72256996260581,8.715467935704256,8.696433214384692,8.71046341150334,8.458959942625091,8.542493512926315,8.600573416534171,8.549664152830095,8.586173497848733
TC006788,6.122355832133557,6.318402655547377,6.361829602824886,6.0764351176577795,6.2766507922513926,5.718818258907302,5.691421663332721,5.830338935594509,5.737496340990761,5.854151917208492
Dbx,5.7497413466053455,5.758671039576243,5.779747918814324,5.6798250085768744,5.776117050119606,5.3606826274307515,5.4099560576343055,5.451709699343339,5.38709313250746,5.525314847940627
TC005342,7.258225166794122,7.379902343364098,7.449045394198686,7.2037411873841695,7.333367392633886,6.728936640285053,6.820535008351976,6.779071820270085,6.849904567644047,6.9442992987012975
TC031968,6.670746610604116,6.671005424276394,6.703650297765534,6.659863726781335,6.624454650599029,6.326500948579292,6.379032979483613,6.384084015461075,6.3904253000972915,6.402230964752754
Dr,6.694581489711333,6.683310392738598,6.740646971109628,6.758039567177709,6.705922311057728,6.1942650731316125,6.286202071631472,6.270662115424902,6.264770065092622,6.278041860309926
TC032035,8.139331184328514,8.160496799654299,8.201232569856465,8.137036778626406,8.158158238538276,7.954016630641961,8.022005811954283,8.062916414377433,8.030952454222865,8.00352835732682
Kr,6.516424281871033,6.560795362552819,6.561528346169443,6.516339294703424,6.551420634485317,5.981968164583369,5.987805006450937,6.249737049210832,6.063169201212048,6.106276958184743
Lim3,6.036266206019058,6.048498198295595,6.1294297376648075,6.156777824081121,6.163036208881063,5.850264687913126,5.923053743884667,5.728870879066275,5.930678775394127,5.970891612143692
mor,7.566893237012695,7.572273912308645,7.5992337797012235,7.579873839093297,7.61210603999638,7.525566829071959,7.4968848992520964,7.486493544113761,7.557112946793812,7.554767545286309
TC002961,7.061321059847567,7.089328739484398,7.10010027133132,7.086009308276349,7.07595692899566,6.981608484534235,6.982642314390416,6.9334158527315495,6.969075608542583,7.063920957463439
Fer3,3.7539062287596106,3.790336139411435,3.88143329105513,3.8570577953938843,3.874529582214636,3.4518335572068444,3.1661712708705188,3.0306841252454406,3.0055389521961753,3.838338658513637
Dsp1,9.09226930248883,9.103793453409917,9.12947227291858,9.11402512248665,9.116446549025147,9.0528717696135,9.036443505879674,8.996393417253488,8.998570702680952,9.038129304152141
NfI,4.718638463279199,4.596882159658356,4.781377697109595,4.678370046331863,4.652461848452739,4.335680306086677,4.2999053713405315,3.980872069475099,4.1063440501764115,4.416510655053966
org-1,5.322552650628784,5.172819499952355,5.446520171404392,5.195490619329981,5.316635899984644,4.691093882003293,4.65867236099151,4.3236726472009055,4.678890303724771,4.761259174395927
Kah,5.225074497898429,5.461721171368799,5.191843464328654,5.308492559867262,5.338653267274965,4.46087210954179,4.388353723666163,4.020947010970107,4.638455289171839,4.6590043789868405
Sox14,6.744353700552244,6.741013837080434,6.726793629844796,6.724574279482259,6.7075855543620655,6.637150375491353,6.6418950484146295,6.620117316842394,6.647710355535909,6.656938546504922
TC012748,5.820731922908169,5.844439965158173,5.802503723125368,5.777752926725325,5.697152359425536,5.535815313436063,5.478650762226586,5.48859499647567,5.471279485195791,5.603656572485142
pnr,5.76406399366065,5.724321322812255,5.595452936982751,5.511296632275092,5.659950604450159,4.96706611026783,5.389429929356937,5.06696002085741,5.3163342779656215,5.208354231801094
pho,7.252142631137157,7.268272056551986,7.262495439842064,7.230152131779223,7.236373090626434,7.164405853536265,7.218169780784294,7.171620107497604,7.207165491322516,7.182904133649528
HLH4C,6.307785416727581,6.149768697440679,6.265727214117542,6.372032455510183,6.229530094693836,5.341356649061726,6.105942510610681,5.756951453465619,6.053192504683511,5.5521165090538105
Axud1,5.819387306963931,5.839035636456799,5.882205898839439,5.872021690741382,5.801111226266175,5.613079251305582,5.779429036134812,5.631748241056837,5.764622381925887,5.714494304275775
sqz,7.792368371348694,7.712541088385997,7.855219558113589,7.816602296008499,7.72137788072394,7.487509245143487,7.6961934584741005,7.559859590719507,7.625996703924789,7.648947801847647
chn,6.564824825789749,6.515689588151958,6.620946159181541,6.622283493458198,6.608679589168466,6.4400283457505045,6.488455455818826,6.3112427805338145,6.472813440296032,6.28229827152164
hkb,6.32740660268447,6.479223725386718,6.597727938981091,6.5136747995824,6.447081716045053,6.1942650731316125,6.311261830930513,6.104328088137073,6.312309638040591,6.1652795019254105
bin,4.742619766897743,4.27927705966578,4.5246361261838075,4.151315173130987,4.635009798802295,3.8246922572967894,4.056837649381516,3.752158176131065,3.776437361225363,3.7353674350264923
CG13982,4.989794721208906,5.0005484254951895,5.001277505909729,4.997708775666621,5.087466540262962,4.846603372205207,4.986244508148999,4.724710928905903,4.773355643434953,4.780512730745925
vvl,6.755496131934749,6.708611468903896,6.705931909200135,6.721869708800119,6.709798917574487,6.615556561496023,6.679696816556835,6.509048525257566,6.54892741406601,6.584276174278096
HGTX,6.135192891473261,6.125650542497068,6.166262733592324,6.086710341422851,6.159209204706096,5.770950427676131,5.860313735365171,5.699978947788755,5.709613912486624,5.644666070760562
inv,7.021279351256354,7.026474104666818,7.0861743426793495,7.06355546883081,7.0487623943883655,6.612824251174929,6.787781556100857,6.578377094603548,6.704181702860903,6.6151962670652145
ara,7.339121712160956,7.346262411146769,7.299992049869626,7.346006531922384,7.265647818005014,7.11431386749529,7.166915072126207,7.074534731213062,6.973079867845387,7.0363297418323505
en,4.570675878851612,4.439715926363581,4.554467172195157,4.622495204299571,4.45198841560489,4.161280514484181,4.3597314483432905,4.200274762241714,4.033502035614994,3.931689707816724
fd96Ca,4.762174027619361,5.037458745972083,4.793021637358423,4.822182173819343,4.707165062920246,3.9883829766398122,4.679976864195541,4.555734893252919,4.381043710162929,4.7216029555929495
Ptx1,5.758359527735086,5.754256990782377,5.819237069357231,5.71007427935264,5.7077471979044585,5.3510663241996985,5.577884623509712,5.506539684113054,5.453174334646857,5.834406647604196
FoxL1,5.037966791448485,4.984757754321521,5.0968304465197365,5.106942617070344,5.1603329073550235,4.5508388364146874,4.986244508148999,4.949964368586583,4.892202132897871,4.955048981178912
ab,7.082469944435021,7.098213740598881,7.083834382760514,7.037825295874628,7.101311095503969,6.82413810473899,6.976298996556042,7.074534731213062,7.031295750222895,7.005897730310237
TC003570,7.290879008210485,7.393162272795141,7.346995959578087,7.298466569518273,7.398735051774025,7.075457028457234,7.136660435675834,7.230416716422777,7.329073925733832,7.273584724670435
TC003191,6.438401532049992,6.465560829571029,6.506039275946031,6.4360317531123,6.492745166297192,5.7254853562254135,6.015906181943754,6.049025554865399,6.339031965226775,6.070179413151655
TC004054,4.818642210471108,4.80380354930287,4.8921315955464335,4.829396603887884,4.952816820601832,4.506866883441578,4.54475834391653,4.6224907146507785,4.736633263194666,4.592223988506629
ftz-f1,6.84236648991157,6.892715382133807,6.881091954447962,6.904080819798516,6.851298864141483,6.686640818002353,6.702268577493244,6.701404418732123,6.843101339322396,6.869253880101029
TC001726,4.137164651531862,3.9091121720215845,4.0490077223825685,4.046916718608318,4.22115871258852,2.8505740245533513,3.341440564382147,3.584698338160152,3.6179521931805914,3.886103090169062
TC008064,6.017680482632668,6.144791825749253,6.083785651310395,6.127768516753896,6.097937644335506,5.691696273044619,5.8538176839043485,5.868208721221847,5.9135324433548195,6.048951707202859
Awh,5.50774233896344,5.398518547933507,5.531162032946998,5.531091299204026,5.510318316295885,5.434454993401079,5.699058773977445,5.714529252760183,5.7844946887347275,5.691755727101397
prd,3.6534952138258836,4.103571348864663,4.127082340456979,3.8665165118441203,4.187304280825417,3.57326179498737,4.54475834391653,4.817444415902106,4.5063047466642265,4.780512730745925
Prdm13,3.289450867669907,2.999554230975772,2.928187665589145,3.034457984063713,2.741535318098267,4.0956635684429985,3.341440564382147,2.6490735203106914,3.4295306150510245,4.017065538987454
pdm3,6.036266206019058,6.037450183928132,6.057981864634506,6.095868628593133,6.107068226182606,6.246910754221609,6.207019045637563,6.0438430304165625,6.166806467329094,6.24772864405351
fd102C,2.6490519473412784,3.471156567308504,3.2636085529903385,3.77798349247192,3.5937450348430633,4.763209053932543,4.853688535528028,5.27772588018483,3.4295306150510245,4.416510655053966
TC002395,8.062393489505059,8.062819459260089,8.075501262523405,8.071104733760816,8.074072902848691,8.101450060119388,8.165510099847502,8.137987013614472,8.058998666218546,8.121611816356507
Snr1,6.785128593584956,6.79191815888248,6.8345980725507784,6.859777263968917,6.8498584296351,6.898801088867634,6.9972887597202025,6.898664237497368,6.876663877308808,6.871612705217237
dve,5.68107886159913,5.653497972462039,5.695759142197031,5.662789438240959,5.64563522598346,5.7772799286170615,5.987805006450937,5.843122208274819,5.673630736885304,5.676304252684441
ato,3.732447765683247,3.5543655126086886,3.79105358697041,3.4807360843756556,3.722268511551756,3.9883829766398122,4.495292530885779,3.895556467597152,3.8696631752077475,3.886103090169062
TC030676,2.8514288721615917,2.0768429888652933,2.70596313899512,2.609588028651929,1.9307971933205281,4.0611665255042935,2.953513730314415,4.132352136206884,2.7682717022778083,3.257963227228652
Hey,6.646918066620021,6.547542668714701,6.630207498938298,6.581367336388082,6.726244806024279,6.923168228578182,6.892260573143703,6.7174279807648976,6.89411370733619,6.680031590361798
ss,5.636852299970343,5.865769863185093,5.866501804813208,5.716015861147904,5.787302766857235,6.246910754221609,6.294625294629012,5.823885492863712,6.482650590808615,5.793706527256776
acj6,5.064077413002739,5.224224982446379,4.895620202545991,4.918734522457413,4.855327898576147,5.3510663241996985,5.524980988993086,5.5153927005091745,5.1328993211991065,5.0613058573902645
prtp,6.6815994761133135,6.769197704901264,6.776854468159756,6.733180076362115,6.6992415352463865,6.801740293726234,6.8876356480662055,6.924840511296761,6.815415919067305,6.8549828760105616
Arl2,5.468389821392462,5.496666058357815,5.514422054464073,5.4685966205992225,5.430154126646853,5.559627688395367,5.619928744541653,5.662649088393285,5.620974653546847,5.578218551291501
Fer2,6.618885094390361,6.601429096317043,6.6128496935726195,6.472831220823546,6.447800259025359,6.618281426635354,7.0158100862538815,6.918360399399572,6.760109219845195,6.788116373035341
ase,6.807917771875851,6.9039876094486345,6.863239917437953,6.868702860565253,6.855129909848335,6.9151116420313,7.111038664692427,7.042514312110281,7.004549487557273,7.0262882882432525
TfAP-2,5.600676453645196,5.709010586973611,5.506891156284916,5.498492907559599,5.495536224713346,5.656725441157112,6.140782267629243,6.049025554865399,6.017468738032666,5.917288232255903
TC012851,5.966747613538962,5.928398194070675,5.850547152190575,5.999161982321235,5.854513822286537,6.151794198371416,6.174448970255249,6.40963689928813,6.134981089555668,6.005094660628754
pan,7.971247695184812,7.985279538334699,7.907621184369697,8.011465256232873,7.95717596624903,8.154363203607952,8.10150703704451,8.301197890382879,8.257770377941219,8.19950045004167
TC014168,6.274202871711111,6.287739755442799,6.175989039721075,6.291235261372283,6.203277240916519,6.311821293877458,6.38671232300716,6.475873210708728,6.368722181849164,6.371628828696862
TC015373,6.290295273716723,6.292055132023594,6.077396857834711,6.169091811380965,6.018421807598626,6.235005420210412,6.3674022460069875,6.547458581989803,6.495618047423736,6.495676270506848
fd59A,4.2659755891612825,4.170436587261366,4.127082340456979,4.271280404488092,4.014858039223168,4.592958423037753,4.056837649381516,4.555734893252919,5.120235926296307,4.986577413515948
TC007335,2.5479793395399346,2.60731817339107,2.641730771836405,1.8558592503640203,2.353534819315503,3.3135958665174603,3.065484784517519,3.752158176131065,3.4963610069779625,4.017065538987454
esc,6.718956633972597,6.742661601310209,6.729579693850981,6.726732681755925,6.764121953937452,6.8460452241674155,6.7696904123960815,6.78651682536879,6.867823431587897,6.8208698374621255
TC000383,6.481649004252015,6.487049330729421,6.480670576236945,6.4686535916206065,6.486545540868058,6.596271732074878,6.481521581990243,6.584447715774916,6.551976486755743,6.6332995821740655
Pep,7.810352777308116,7.819021432406085,7.804488111902245,7.8135162790995345,7.825326297114135,7.916840090322129,7.837511125526081,7.860167163452349,7.890406506151148,7.919581167731379
Phf5a,7.173682992240162,7.119522317081587,7.179458731200973,7.139140739172242,7.152656603190509,7.297052116328863,7.201375088543321,7.21925155308375,7.245931909201778,7.295411480832339
TC004945,6.981252667173682,6.993713883321186,6.997857080074952,6.931684457687851,7.060507865825325,7.11431386749529,7.125759961261026,7.023188417997917,7.17666400813379,7.1897836317166
