gene_names,Nbs_type,Hox_7,Hox_9,Hox_10,Hox_4,Hox_6,Hox_2,Hox_3,Hox_5,Hox_1,Hox_8,No_hox_3,No_hox_2,No_hox_10,No_hox_6,No_hox_4,No_hox_8,No_hox_5,No_hox_7,No_hox_1,No_hox_9
Mnt,VNC,7.48699241207672,7.4703336531791,7.4901149345428,7.50707693275397,7.46216903783089,7.47600030658213,7.37751869444192,7.47604829992025,7.44221676912465,7.44823959178313,7.36435312718476,7.27717598001919,7.27814411411274,7.37966209079594,7.23492543062139,7.20115755563949,7.34010631674664,7.40109929752676,7.41342732443339,7.29856308985332
TC003570,VNC,6.61953530884988,6.62183103330437,6.73191917154864,6.64839796351418,6.64101287625989,6.69454781818813,6.61559735414032,6.68874323217278,6.63836671850732,6.60826019890651,6.56598145496854,6.46217523821504,6.4735220160835,6.5452944145032,6.51768920074671,6.38098406056455,6.46408709543546,6.67920561695072,6.60146836292443,6.47051319661097
exd,VNC,6.66591168846786,6.66801851053716,6.68566090491609,6.58227907864776,6.61991108620256,6.68674933724948,6.63157643630028,6.65943547394225,6.67128475616745,6.62841124806617,6.54339556224654,6.56769757529627,6.58256159402601,6.63677216369003,6.47273354040633,6.56773368188685,6.65776190330976,6.45068716326878,6.47498697010626,6.56686857760389
TC016404,VNC,2.58903745632477,2.81748330640691,3.0378613255434,2.58199153505222,2.68834761517383,3.17239928992592,3.01688797542411,3.12717814063222,3.00984141420942,3.13310755058799,2.51236030677281,1.96142073638872,2.67885586399244,2.84269160722929,2.25163882511566,3.08669471449742,2.94359401275444,2.05064315787338,1.74533428447565,2.24378529412151
net,VNC,3.83215998288862,3.95604191322327,4.05825930711812,4.00851877223988,4.06240614147546,4.1622227923225,4.0665919871821,3.94312494522099,3.97913788416757,4.2022346226791,3.83591986776894,3.82433686358448,3.97052319713941,3.81650754345713,3.42626522900631,3.89346143974115,3.77762007872881,3.78180099019879,3.8769792586655,3.76456134300263
TC001789,VNC,3.48052115623982,3.63400372666672,3.5767185801916,3.75751423917833,3.4092434052908,3.53152930922228,3.76336474116969,3.40896850711722,3.57043767978375,3.51036764520832,3.4166907442503,2.9615683521578,3.33707943042754,3.44373169996577,2.25163882511566,3.33846787527995,3.05550695645491,3.05958443889242,2.86490325842943,3.18551040969669
sug,VNC,4.73736830563374,4.81810594427118,4.81480795925808,4.79871139000501,4.69815954212773,4.53159923947037,4.73501554824544,4.74625276384419,4.64149715483172,4.57951713460874,4.29779751652055,4.52873512844036,4.51585911276771,4.60508634375876,4.2344887299669,4.41313488836274,4.53440169774602,4.3241576321037,4.55971578579061,4.22583531299583
bin,VNC,3.68325302536096,3.82768948798775,4.03458310750194,3.81093030105324,3.83372123216818,3.22722704879299,3.94896931836061,3.64080709794492,3.70044492825951,4.10910233411861,3.25558635554991,3.51403713886248,3.414384501491,2.84269160722929,1.99843116709631,3.17784602178767,3.61005009939025,2.67730211340925,3.37986802808428,2.88244656861282
CG12605,VNC,5.21702954038432,5.24842173241158,5.22851641664693,5.22193279085723,5.0491704899083,5.26208861302075,5.208321698361,5.25359867002246,5.30561968039131,5.12593784939485,4.96848253908294,5.12390937766821,5.24013945128742,5.10375642617784,4.9658487161008,5.04789077344549,5.14660773482118,4.99549552058258,4.91076156842053,4.60557233994832
hwt,VNC,6.16326086363893,6.0487626790093,6.08515278403675,6.02986023215202,6.04348483272387,6.00595709046144,5.96381033407357,5.97526255265336,6.14142932402592,5.99748084764674,5.65020655714738,5.78320741249752,6.07578110024776,5.85936359390454,5.59416798181664,5.97104554833078,5.74770740458343,5.44362285331118,5.79063057425926,5.60886283647477
cbt,VNC,5.07931604634755,5.11192378190429,5.10229287509274,5.11208738162931,5.06082602045532,5.05921021241632,5.12662468661574,5.04080703756834,5.13886092905225,5.18908561022712,4.83369193286434,5.07420417748197,5.0564800348783,5.05342817021691,4.8054297804093,5.04789077344549,4.87812170742643,4.60852303490469,4.80040224922259,4.64683695394075
fd96Ca,VNC,4.0125161796881,4.15086924456838,4.15483399793834,4.3023142220811,4.22862694733335,4.08984829042082,3.98401087190627,4.07760611153011,4.18326450733635,4.2022346226791,4.0932913481076,3.51403713886248,3.67487798795836,3.77103481335445,3.95162410667856,3.47682531432039,3.61005009939025,3.87971241302425,3.71810895312412,4.12890580109818
