gene_names,Hox_3,Hox_7,Hox_8,Hox_10,Hox_9,Hox_4,Hox_5,Hox_6,Hox_1,Hox_2,No_hox_9,No_hox_5,No_hox_2,No_hox_3,No_hox_8,No_hox_4,No_hox_6,No_hox_10,No_hox_1,No_hox_7
TC031968,6.047453304595167,5.843128154926965,5.991275613093579,6.031394492377485,6.023892415962654,5.9674618006068645,5.98024772646843,5.976579552963133,5.8595094527485445,5.982703448009269,5.7676675602526535,5.5339146389117175,5.615251182008411,5.646668162633123,5.8236459537803125,5.544868933101182,5.6910490622624295,5.591746193341516,5.993318497219977,5.526183818044161
TC032451,6.552204581550077,6.548156480536976,6.403257591191176,6.506846064225498,6.570404435039653,6.590259230592599,6.540587645274992,6.5653985714869565,6.531029407176836,6.4641081443489705,6.132434047811442,6.229340595896513,6.119967198407514,6.391609520556536,6.436220450802865,5.987717495872156,6.382506791790848,6.171544096973332,6.403333366565589,6.383745771801177
ara,6.658360970457337,6.551461910933016,6.510609089476449,6.604893585978025,6.740384010107957,6.654633473269066,6.679017887476408,6.656937766543239,6.615557569395844,6.56168272017123,6.399128329317054,6.2709328502458055,6.275135463080235,6.5239995446183,6.481691126672852,6.248667649810883,6.484621236387783,6.311033653199832,6.431557638381539,6.364873845369598
hth,8.024647510356699,7.966303629758411,7.967985097946638,8.004580038672598,8.023785005941226,8.018238139050343,8.011765525173821,8.023981046056626,8.025516568970733,8.019109302304155,7.8255313524744485,7.755701018878756,7.87180729028437,7.875979222022828,7.902150586006857,7.777383621250275,7.919698172335588,7.851178924779945,7.9033313145776365,7.8513714781691935
Mef2,5.376420816703942,5.437102485753199,5.619091161357146,5.493648809751721,5.63005299793845,5.466480038260281,5.5498525850147535,5.5510208983749525,5.484004195703403,5.4345048688484345,4.878356353313312,5.036976786277865,5.048688105754811,5.010329239459745,5.1785051546485485,5.370053793389119,5.279587699127052,4.926241237885402,5.158259127482254,4.929199853188644
Kah,4.276189358860472,4.532302123710162,4.761377598595084,4.517807242171473,4.9582621073895865,4.655042912407726,4.481553056965985,4.7375014586744975,4.5094511800531185,4.599456959210188,3.6444384731878756,3.786451634229682,3.7207432055193967,4.111304568662357,3.8212803089061618,3.571377861653555,4.016369252725314,3.9311369793993305,3.6862219832083265,3.23294233547551
TC032035,7.5020759978743525,7.482494503535532,7.413453181023298,7.486573146012974,7.478280115698396,7.434976579751046,7.447560016159991,7.4601729086078095,7.462522079967337,7.473955201410066,7.28220432439757,7.336511828363669,7.287715628494941,7.426258914953058,7.3493977784816575,7.344595649590877,7.380371651703371,7.2254438468349464,7.208956036930042,7.362114386625505
TC003191,5.844960910270675,5.779497306097964,5.693904755419018,5.860535729430085,5.789985146997482,5.827089850864764,5.6634597362658905,5.826276015593535,5.737726984081062,5.700361234542351,5.232745834239316,5.623431414811852,5.114526012590531,5.45718061624979,5.285817497818135,5.519218365420633,5.506333316336063,5.044968734110137,5.4930866683444695,5.219074543744276
inv,6.370302456701886,6.288800015940668,6.371139485340741,6.330595077443556,6.3496846726078875,6.441029951859056,6.356450946170831,6.354122088410943,6.366869072435225,6.317970801294629,5.9176639304813,6.093053421894571,5.6605516809927785,6.079352520730201,6.14309358989482,6.100389878542089,5.891802866928318,5.9713372959890645,5.810417463060723,5.939108310737507
pnr,5.047420934027926,4.823502871749798,4.720746090346751,5.015322001220523,4.919066147395379,5.071754173193682,4.789374297134562,5.109205964540448,4.811670343862167,5.20018855376301,4.499954801495425,4.78351728698807,4.401708505492438,4.2473382966493505,4.527839775423101,4.366564187615492,4.720900211255696,4.4761481789010364,4.519092540108301,4.444208988063253
Dbx,5.088831315011528,4.949031483710193,5.016535145447537,5.098531803208577,4.8886268440683756,5.1802056684146205,5.090966212734282,5.136073533880212,5.025799380366044,5.062854996344201,4.725473121784356,4.886234690766619,4.7120608128877155,4.7588021563547525,4.663035125655289,4.691507383070751,4.679606470983273,4.570423536951349,4.691700579498526,4.945085389725283
Dsp1,8.378281695472301,8.39218254406745,8.408714612618502,8.421958762367538,8.404491106510209,8.417457026905785,8.421135701074897,8.43507906011438,8.432594352320478,8.446746125913624,8.329226738092895,8.36941659851956,8.389251946868264,8.341397508057744,8.355877258297578,8.276016055711892,8.305871551146934,8.251426515006253,8.347823054745701,8.33990679227938
nau,3.7680931882065076,3.574112208856764,3.7143544478693977,4.102992532234246,4.05245393027369,3.792805165169729,3.976537937482073,3.9500781851013373,3.718292125748243,4.187751720904492,3.25195675583241,3.1157270983964245,3.191657821865381,3.3979100363866275,2.811323837687309,2.7802117292123683,3.418395949272959,2.641505710706025,3.0178323156963653,3.1415685258324566
