gene_symbol,Hox_1,Hox_10,Hox_9,Hox_12,Hox_6,Hox_14,Hox_3,Hox_15,Hox_5,Hox_7,Hox_2,Hox_11,Hox_8,Hox_4,Hox_13,No_hox_5,No_hox_9,No_hox_13,No_hox_7,No_hox_11,No_hox_12,No_hox_1,No_hox_14,No_hox_2,No_hox_10,No_hox_3,No_hox_6,No_hox_8,No_hox_4,No_hox_15
sd,6.465030618685438,6.4880551850139225,6.426878450474251,6.484337549887283,6.582739706445816,6.479533583680477,6.502569198735321,6.43410091455517,6.494473926566921,6.452698040082079,6.526582485742836,6.429894642830035,6.474075632130369,6.43088060006021,6.469022311735867,6.402958134769794,6.363420219227908,6.359934428923394,6.358629587867439,6.360764615978059,6.34325417464729,6.435499713378058,6.426316285904014,6.335524497621341,6.350523406308336,6.4332932389923085,6.263223865306334,6.359386891252674,6.374991780378721,6.374656912265646
scrt,7.878978737969039,7.828608075426746,7.79107405650769,7.832190147354796,7.893764199527387,7.814657359823071,7.850155043331615,7.819190160927215,7.8144867519126615,7.835988729316541,7.8832797817028695,7.866975360954562,7.821366180667917,7.80000542980088,7.789458037905088,7.749104337411867,7.69036610874548,7.802487092833034,7.762833197198893,7.748750350421317,7.67695861253593,7.77780966222548,7.700012812712946,7.708589223145758,7.667610910653359,7.728268363537931,7.704037168052887,7.706687957215571,7.717206259139004,7.783979361597743
Dsp1,8.070338656462475,8.047672878330284,8.076251402211064,8.056118708674417,8.104282052524692,8.050496809313948,8.07905081506758,8.072411415077903,8.054194475831157,8.068305438615317,8.095903144967457,8.072541388459694,8.069669584312635,8.068159286872966,8.050435852388834,8.0020502380218,7.996239034275142,7.981268447533301,8.069796273877868,7.9819022708238725,7.957827636726372,8.027596738274704,7.9763990367248585,7.935824336632361,7.989125781715804,8.000856965026514,7.98599984644871,8.011744877802483,8.047395969204706,8.050510576004955
CG17124,4.942416528197482,4.739274583984658,5.03415599639623,4.827344072160612,4.862286522507547,4.767996297129426,4.739687937832096,4.906825123081696,5.006771883772926,4.907422003766975,4.799907367552321,4.817868687303493,4.814135186430628,4.70285920404731,4.903926582128065,4.2422251759417335,4.195205423251267,3.9821643372965565,4.195529339019817,4.601037518350368,4.614853965136382,3.9239966159413755,4.115956458887712,4.631367861163894,4.3093786900535545,4.481116852925358,4.446035056238305,4.4178180288039535,3.6787666152183673,4.385846231917809
mid,4.829120369533027,4.71284265999327,4.883602469056207,4.785132560672324,4.671026777272517,4.843241041285135,4.924784892019199,4.808857490422083,4.674495984646814,4.667887207249065,4.705419900169898,4.804187636622921,4.814135186430628,4.497310569627714,4.92119043044142,4.552004880382353,4.015892864259224,4.214620077191856,4.086074225850316,4.367322871524981,4.127142845140018,3.8896108313158346,3.964520479721284,4.285763626809948,4.718005897809284,4.603847873008001,4.1813722587257125,4.374868796335216,4.28952408679992,4.492205440591669
so,3.2285473284836086,3.712869855953918,3.4936628506159386,3.288703852212818,3.4100204680938675,3.647057398489069,3.343989978988725,3.644938152645574,3.640356046733944,3.6192673426469764,3.3356947595538067,3.7616871248595487,3.832726851837707,3.4572604913045226,3.6673979072155194,2.1062175855213803,3.043253113084805,2.444657209687746,3.351031643319486,2.266754149552261,2.788100978406328,2.896145842282177,2.263410958957844,2.538862599283069,2.4195730139430385,3.3092561135675016,3.31212310296306,2.913912456917283,2.8207773110508603,1.857428233106769
bap,3.1574820307437825,4.38634048619332,3.0028943030721043,3.7713801368547992,3.85333434617184,3.1031229125695337,3.496028397214994,3.688905436886232,2.7259757942208274,3.522001207096182,3.2274447128445862,2.998204003515041,4.1243955495434355,3.3023839153672734,3.753529630763205,1.0311452119780684,2.3104342572252508,1.506045659624635,1.4909964764599029,0.0,2.4129409789099405,2.2567628135769158,2.4282480230039556,1.7916587952982277,0.99578304286206,0.9737282006686656,1.4598737846834529,1.8291560564044707,1.0132115965872366,0.0
btn,3.7776635606385014,4.363812987025823,2.7777602206329615,3.350908265990122,3.312433137597016,3.7467986687242307,2.3874796531853337,2.767083728441794,2.9584080422645918,2.527890678687719,3.5051626303725616,3.5761954025071594,4.161189391009303,3.8993670698122638,3.5396404556780894,2.1062175855213803,1.8636583826684936,1.8347070203924956,2.568429229806447,1.0041575592885519,1.47908273414507,2.0594548394887804,2.0659339740515157,2.0367768759739096,0.99578304286206,2.223432356649106,2.226086287851448,2.273607232651343,0.0,1.030480670353235
CG33557,3.2948957060702693,4.225579619949104,1.730045443581999,3.1513253993719617,2.4590157173994296,3.6619298271011775,2.0767340078195393,2.064649724080572,2.762674781482503,2.1391934925645795,2.8416149184346087,3.3869038344272657,3.928349290822094,3.25960327141654,2.221038958088178,0.0,1.0352322426754133,0.0,1.0009111030700617,0.0,0.0,0.997104864670944,1.001795357759956,1.4662441393718892,1.484710206890238,0.9737282006686656,1.7847556877254194,1.009006984197234,1.0132115965872366,1.030480670353235
vvl,7.045206473698298,7.102541509693895,7.076038664377153,7.251024657195774,7.143764354636426,7.157689099375325,7.15943416701073,7.051831318111015,7.2195746345422345,7.108954030556139,7.118679819799231,7.029443995920005,7.124430483816723,7.194055607710982,7.206801464349924,6.994650510174708,6.656913296610429,6.670437237186608,6.953896062267158,6.894544256529956,6.646759787774946,6.76443238959432,6.74382113464718,6.8695865269151835,6.732282164134581,6.715260713043448,6.991019730145232,6.82571895814811,6.862142165156253,6.802843397419962
