gene_symbol,Hox_6,Hox_3,Hox_1,Hox_4,Hox_2,Hox_10,Hox_5,Hox_9,Hox_7,Hox_8,No_hox_4,No_hox_2,No_hox_6,No_hox_10,No_hox_9,No_hox_8,No_hox_5,No_hox_7,No_hox_1,No_hox_3
su(Hw),5.4394559662071975,5.429369271802789,5.487235089718431,5.452122901339009,5.384416022160502,5.449027425398131,5.452280902491314,5.442100351520044,5.416255545307045,5.41639297046882,5.268171331255382,5.203393079121415,5.22214234457644,5.272550339006931,5.205495027486083,5.176392696976194,5.298042096036514,5.261857211125756,5.392601890445011,5.214199010106138
E2f2,7.224715063117651,7.20310121592331,7.234663435587219,7.236141367502892,7.222189250020758,7.217582033863517,7.252081628710452,7.251911283592688,7.255169691678329,7.2230580493109215,7.166288298836677,7.14180403814879,7.159516146293007,7.141373461693155,7.1185827291680015,7.125811142445091,7.209141661603777,7.147964127877018,7.185794025768402,7.103317013437808
sens,4.949293909225349,4.916449676328765,4.807619602400468,4.780413005454289,4.992995730121284,5.158657374635733,4.8649287292904635,5.100925551539676,5.139525530913634,4.993859267168764,3.973655779846672,3.5371187784846554,2.041601845262337,3.356958951908373,1.8373286075716813,2.9046646056554737,4.040314147555371,3.681462532242134,3.7042746761057663,2.446674556378445
Poxm,2.5093062530637065,3.2195029739214798,3.26593076582052,3.1358852170819187,3.4475563406132768,3.224057399974494,3.115320174473151,3.2836967109072126,3.5532589561390986,2.9644938568919033,2.7023197710778266,1.506828119701884,0.9842239442180196,1.8235944376711701,1.5084736720936176,1.0028030003963504,1.8302416906101695,2.4066572633233267,2.263133842373915,2.0835891227182333
CrebA,6.290222481114612,6.256402060011837,6.304277558841736,6.176165763503231,6.234730815752977,6.126310235866134,5.899519928505986,6.169546996244142,6.229623942933388,6.444978910931275,5.8546627671332745,5.972872977968853,5.490200467915044,5.536462598959451,5.631449446521376,5.338064015603253,5.88748369369657,5.831664802974357,5.966954620479241,5.7714811680382505
slp2,5.891422829871174,5.9946130704609555,6.018947871745217,6.024364993279594,5.953308425361108,6.034350683314461,5.924729321237368,6.046490883193051,5.998586534743423,6.0734913293892685,5.803520329898678,5.781176653422107,5.61975017474149,5.793706087731814,5.772388455576054,5.5734406680759765,5.79099794703725,5.907676865205981,5.840071997897962,5.655455327451207
Top1,6.343254447020222,6.257498252232086,6.321926680879675,6.337047454141059,6.279830960724867,6.303022344283041,6.240895673123401,6.366139465694019,6.354080506857027,6.37309670774687,6.221888935204719,6.129850730045313,6.142421144628573,6.130814754743324,6.158369522000153,6.0162574261199895,6.108132986060581,6.222888656021297,6.148112921912838,6.055639559930558
D1,8.658381678061907,8.643622748223004,8.65334744366195,8.641931868166882,8.643367851493963,8.647155459763292,8.646168955906564,8.656214740850896,8.639278691310812,8.642312543134903,8.632031203816478,8.590813396952939,8.608061667784881,8.57395888335028,8.587035659163353,8.620273647711597,8.591970354133375,8.613492288115667,8.615878673230633,8.622861746097474
CG33557,3.990705963452997,4.251177940021315,3.2438283284237763,3.6544682406073443,3.5349602791067594,3.1281539585441713,2.9469394496306553,3.1705889059097254,3.6022807266702457,2.731974695083535,2.074070227187374,1.0138520656305055,1.4705135164461836,1.495758853188519,0.0,1.820951794292428,1.0098288591851814,0.0,0.0,1.507764984066739
cg,6.86817595331813,6.88572396558561,6.872202438659335,6.817605272005489,6.854509565270268,6.810797027790419,6.820855041999838,6.836234020022347,6.821137849297072,6.815230415717769,6.722195890026694,6.67809219197844,6.722014210474952,6.652757638671878,6.628045141042686,6.686888014918926,6.700098676436855,6.726217147885323,6.669807141376424,6.696816567956065
